internal_id,author,birthYear,birthPlace
343,Érik Izraelewicz,1954,Strasbourg
344,Moshe ibn Tibbon,1195,Marseille
345,Charles Fourier,1772,Besançon
346,Thérèse de Lisieux,1873,Alençon
347,Jean-Jacques Audubon,1785,Les Cayes
348,Jean Teulé,1953,Saint-Lô
349,Théophile Gautier,1811,Tarbes
350,Gilles Deleuze,1925,17e arrondissement de Paris
351,Jean Genet,1910,Paris
352,Mylène Farmer,1961,Pierrefonds
353,Jean-Claude Forest,1930,Le Perreux-sur-Marne
354,Alphonse Karr,1808,Paris
355,Antonin Artaud,1896,Marseille
356,Giuseppe Mazzini,1805,Gênes
357,Alain Ducasse,1956,Orthez
358,Pierre Plantard,1920,7e arrondissement de Paris
359,Alphonse de Lamartine,1790,Mâcon
360,Nicolas Boileau,1636,Paris
361,Pierre Teilhard de Chardin,1881,château de Sarcenat
362,Gracchus Babeuf,1760,Saint-Quentin
363,Benvenuto Cellini,1500,Florence
364,Claude-Adrien Helvétius,1715,rue Sainte-Anne
365,Adrien-Marie Legendre,1752,Paris
366,Q191305,1808,Paris
367,René Goscinny,1926,5e arrondissement de Paris
368,Alexeï Nikolaïevitch Tolstoï,1883,Pougatchev
369,Jean-François Lyotard,1924,Versailles
370,Frantz Fanon,1925,Fort-de-France
371,Henri Troyat,1911,Moscou
372,Benjamin Nicolas Marie Appert,1797,Paris
373,Q195050,1883,Auxerre
374,Alexandre Berkman,1870,Vilnius
375,Jean-Marc Leclercq,1961,Lille
376,Jules Lemaître,1853,Vennecy
377,Aurélie Filippetti,1973,Villerupt
378,Alfred Capus,1857,Aix-en-Provence
379,Paul Bourget,1852,Amiens
380,Sibylle Gabrielle Riquetti de Mirabeau,1850,château de Coëtsal
381,Guillaume de Machaut,1300,Reims
382,Paul Valéry,1871,Sète
383,Varian Fry,1907,New York
384,Alexandre Herzen,1812,Moscou
385,Nicolas de Condorcet,1743,Ribemont
386,Dominique Dufour de Pradt,1759,canton d'Allanche
387,José Corti,1895,Vitry-sur-Seine
388,Gabriel Bonnot de Mably,1709,Grenoble
389,Edmond Rostand,1868,Marseille
390,Q203674,1905,Paris
391,Antoine de Rivarol,1753,Bagnols-sur-Cèze
392,Paul Winkler,1898,Budapest
393,Étienne de Jouy,1764,Versailles
394,Jean Galbert de Campistron,1656,Toulouse
395,Jean-Pons-Guillaume Viennet,1777,Béziers
396,Janri Kachia,1939,Batoumi
397,Raffaëla Anderson,1976,Montfermeil
398,Édouard Estaunié,1862,Dijon
399,Olympe de Gouges,1748,Montauban
400,Georges Bataille,1897,Billom
401,Édouard-Félix Guyon,1902,8e arrondissement de Paris
402,Édouard-Raoul Brygoo,1920,Lille
403,Nicole Védrès,1911,Paris
404,Claire Élisabeth de Vergennes,1780,Paris
405,Valtesse de La Bigne,1848,Paris
406,Louise Weiss,1893,Arras
407,Martine Brochard,1944,Neuilly-sur-Seine
408,Édouard Blau,1836,Blois
409,Édouard Chavannes,1865,3e arrondissement de Lyon
410,Édouard Drumont,1844,ancien 2e arrondissement de Paris
411,Édouard Dujardin,1861,Saint-Gervais-la-Forêt
412,Édouard Glissant,1928,Sainte-Marie
413,Édouard Grenier,1819,Baume-les-Dames
414,Édouard Lefebvre de Laboulaye,1811,ancien 7e arrondissement de Paris
415,Anne-Sophie Brasme,1984,Metz
416,Édouard Vaillant,1840,Vierzon
417,Édouard d'Anglemont,1796,Pont-Audemer
418,Édouard d'Anglemont,1798,Pont-Audemer
419,Annette Mbaye d'Erneville,1926,Sokone
420,Catherine Robbe-Grillet,1930,14e arrondissement de Paris
421,Élie-Abel Carrière,1818,May-en-Multien
422,Laurette Séjourné,1911,Italie
423,Élie Fréron,1718,Quimper
424,Élie Faure,1873,Sainte-Foy-la-Grande
425,Élie Semoun,1963,Paris
426,Élisabeth Gille,1937,Paris
427,Émile Arnaud,1864,La Chapelle-de-Surieu
428,E. Armand,1872,11e arrondissement de Paris
429,Émile Bergerat,1845,rue de la Vieille-Monnaie
430,Émile Blémont,1839,ancien 6e arrondissement de Paris
431,Émile Boutmy,1835,Paris
432,Alain,1868,Mortagne-au-Perche
433,Austen Henry Layard,1817,Paris
434,Émile Driant,1855,Neufchâtel-sur-Aisne
435,Macha Méril,1940,Rabat
436,Geneviève de Gaulle-Anthonioz,1920,Saint-Jean-de-Valériscle
437,Geneviève Tabouis,1892,8e arrondissement de Paris
438,Germaine Dulac,1882,Amiens
439,Nina Roberts,1979,Villecresnes
440,Isabelle Autissier,1956,12e arrondissement de Paris
441,Mimi Perrin,1926,Saint-Maurice
442,Nina Berberova,1901,Saint-Pétersbourg
443,Charlotte Aïssé,1693,Circassie
444,Anne Brochet,1966,Amiens
445,Christine Angot,1959,Châteauroux
446,Jean-Joseph Vadé,1720,Ham
447,Bertrand Clauzel,1772,Mirepoix
448,Gina Pellón,1926,Cumanayagua
449,Jacques-André Naigeon,1735,Paris
450,Jacques-André Naigeon,1738,Paris
451,Margot Anand,1944,Paris
452,Robert de Torigni,1100,Torigni-sur-Vire
453,Jules Breton,1827,Courrières
